client_id,cloud,gym,insurance,mobile,music,software,streaming,none,fold
C000001,0.0,0.14898016574320963,0.448164827067363,0.11232031296057415,0.0,0.0,0.20305078995700065,0.08748390427185249,2
C000005,0.0,0.1834456848992156,0.0,0.6572666046806406,0.0,0.0,0.0,0.15928771042014378,3
C000007,0.425720765820284,0.0,0.0,0.0,0.0,0.12351037748236253,0.0,0.45076885669735345,3
C000009,0.054406238039117406,0.0,0.0,0.0,0.0,0.60433887453022,0.28805046065228707,0.05320442677837556,2
C000012,0.0,0.0,0.0,0.0,0.0,0.8926875162835687,0.0,0.10731248371643132,4
C000014,0.24414597622562537,0.0,0.0,0.0,0.0,0.6202857663939941,0.0,0.13556825738038047,4
C000015,0.0,0.0,0.5528136628685766,0.0,0.0,0.0,0.0,0.4471863371314234,0
C000016,0.0,0.04047363190966357,0.6755391079651573,0.0,0.0,0.0,0.0,0.28398726012517916,1
C000017,0.0,0.009033720651355461,0.09400414263203558,0.6957025205847686,0.0,0.0,0.08439321226013964,0.11686640387170077,3
C000021,0.0,0.0,0.0,0.6813835845443872,0.0,0.02756627983953963,0.1310453586011052,0.16000477701496796,1
C000022,0.0,0.0,0.0,0.0,0.0,0.5556689666527687,0.18578121889188753,0.25854981445534375,2
C000024,0.0,0.8218373460743309,0.0,0.0,0.047611001638755715,0.01836543443259706,0.0,0.11218621785431626,1
C000025,0.5973830250264293,0.0,0.0,0.01571022883787537,0.004490924760598484,0.19987868632094075,0.006000239085967175,0.176536895968189,0
C000026,0.0,0.6733869298912948,0.05598961528370501,0.03386176225446617,0.0,0.0746498857181643,0.1548570076818324,0.007254799170537285,1
C000027,0.0,0.01776226806186608,0.0,0.1893022692945026,0.7247346067643184,0.023016254444108458,0.0,0.04518460143520431,2
C000028,0.31169539538168284,0.014078062964200281,0.0,0.0,0.1164083276419287,0.5435669611650485,0.0,0.014251252847139684,3
C000029,0.39609313075119174,0.0,0.0,0.034422833537188315,0.29266492298507996,0.08587494140232968,0.05870958588371567,0.1322345854404947,3
C000030,0.08629549494485868,0.0,0.0,0.0,0.016885545399302846,0.0,0.0,0.8968189596558385,3
C000033,0.05886201518805964,0.0,0.0,0.0,0.0,0.0,0.41133383076689,0.5298041540450503,0
C000035,0.0,0.0318543827898024,0.0,0.3255009513694958,0.039909400142964443,0.0,0.04724254228044576,0.5554927234172915,2
C000038,0.0,0.0,0.0,0.0,0.38847139692864047,0.32506054320779676,0.0,0.2864680598635627,3
C000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
C000040,0.0870336760627963,0.6289265385727045,0.2463074531953282,0.0,0.0,0.0,0.0,0.037732332169170935,2
C000041,0.0,0.0,0.7859208448558906,0.0,0.10235262372925756,0.0,0.0,0.11172653141485178,3
C000043,0.0,0.0,0.058521343917371044,0.0,0.0,0.0,0.11308011037607242,0.8283985457065566,1
C000044,0.0,0.0,0.0,0.0,0.0,0.0,0.03742063716590713,0.9625793628340928,1
C000047,0.0,0.4273024891717669,0.0,0.0,0.4231486235770752,0.0,0.0,0.1495488872511579,2
C000053,0.12891906098743772,0.3718482453587694,0.0,0.0,0.0,0.0,0.0,0.49923269365379286,3
C000055,0.0,0.0,0.0,0.0,0.0,0.13568839073262665,0.0,0.8643116092673734,1
C000060,0.0,0.0,0.7942823304669595,0.0,0.0,0.0,0.0,0.2057176695330405,0
C000062,0.05145333896072867,0.0,0.0,0.02708124134414369,0.0,0.0,0.0,0.9214654196951276,4
C000063,0.0,0.0,0.8421749786286049,0.0,0.0,0.0,0.0,0.1578250213713951,1
C000064,0.0,0.0,0.33539969926236135,0.025127839360657895,0.0,0.5812979466711288,0.0,0.058174514705852,1
C000066,0.03891205277621979,0.0,0.0,0.0,0.0,0.0,0.0151453999222884,0.9459425473014919,1
C000069,0.03711433717694745,0.0,0.40511716165840767,0.01707623928925117,0.0,0.0,0.014259276253270827,0.5264329856221228,3
C000072,0.0,0.0,0.0,0.1318147799180427,0.0,0.8110179684047738,0.03342748148719338,0.023739770189990184,1
C000073,0.0,0.0,0.10031033230682687,0.0,0.21063178191102644,0.0,0.0,0.6890578857821467,4
C000077,0.35385557617633095,0.0,0.0,0.10430766676118129,0.0,0.0,0.0,0.5418367570624878,4
C000078,0.0,0.0,0.4597557302427583,0.0,0.49415898673552566,0.0,0.019240301902987617,0.02684498111872835,4
C000079,0.0,0.3285756042341874,0.0,0.015335122523122137,0.0,0.5285746270134839,0.11206853242761394,0.015446113801592554,2
C000080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
C000084,0.0,0.0,0.0590163208232928,0.04494754219618981,0.0,0.0,0.0,0.8960361369805174,3
C000085,0.0,0.0,0.7764950675808697,0.0,0.0,0.0,0.0,0.22350493241913028,2
C000088,0.17468912782332,0.004628987534767035,0.7343693908285182,0.0,0.0,0.0,0.0,0.08631249381339479,1
C000093,0.6284265036967983,0.0,0.021202346516933132,0.0,0.0,0.0,0.0,0.3503711497862686,0
C000094,0.6084035109846669,0.0,0.2133281396480192,0.0,0.06816628236433259,0.0,0.0,0.11010206700298131,1
C000095,0.06008896387715849,0.0,0.0,0.8120512777720716,0.009580288916642761,0.05634334304872999,0.0,0.06193612638539714,1
C000100,0.07364125735768025,0.6044142907763503,0.06427729415687951,0.0,0.0,0.0,0.0,0.2576671577090899,2
C000101,0.0,0.9148089450173722,0.0,0.0,0.0,0.0,0.0,0.0851910549826278,1
C000102,0.0,0.10675115474227022,0.0,0.0,0.0,0.5564116631336712,0.0,0.33683718212405855,4
C000103,0.0,0.0,0.5385837372676826,0.0912499692120018,0.13286194471159052,0.21276695439601973,0.0,0.024537394412705416,3
C000104,0.0,0.0,0.4100445852158392,0.0,0.40593178527699997,0.0,0.0,0.1840236295071609,3
C000105,0.0,0.15234248578857162,0.055513431796895024,0.0,0.0,0.0,0.6280470871267775,0.1640969952877559,4
C000106,0.0,0.0,0.0,0.0,0.0,0.0,0.8467326531301226,0.15326734686987742,4
C000109,0.5335616751252166,0.0,0.0,0.0,0.0,0.4287008590930985,0.0,0.03773746578168491,1
C000110,0.0,0.10029197462386398,0.18694613980275054,0.5524711861099499,0.02009041599922136,0.0,0.002165725827525144,0.13803455763668904,1
C000111,0.0,0.0,0.5004712259545402,0.0,0.0,0.0,0.4405034493865573,0.059025324658902534,1
C000113,0.0,0.0,0.0,0.6677438700186961,0.050171975547354336,0.0,0.0,0.28208415443394963,0
C000115,0.5130453293403623,0.0,0.0,0.0,0.02307915194684786,0.2220439603757373,0.06431061214930646,0.17752094618774616,1
C000116,0.03723732552944638,0.0,0.8804687482040842,0.0,0.0,0.0,0.05734867094092607,0.02494525532554337,0
