client_id,fold,cloud,gym,insurance,mobile,music,software,streaming,none
C000001,2,0.0,0.14896765078029106,0.3112683346998967,0.20599463954665825,0.0,0.0,0.2927820456022216,0.04098732937093241
C000005,3,0.0,0.21112317650203793,0.0,0.5765066684075392,0.0,0.0,0.0,0.2123701550904229
C000007,3,0.3561106985620657,0.0,0.0,0.0,0.0,0.21259779734473072,0.0,0.4312915040932036
C000009,2,0.06318651765935432,0.0,0.0,0.0,0.0,0.5417010793457682,0.3639568489350167,0.031155554059860813
C000012,4,0.0,0.0,0.0,0.0,0.0,0.9338224488029206,0.0,0.06617755119707935
C000014,4,0.3810045397890674,0.0,0.0,0.0,0.0,0.38327312765107857,0.0,0.2357223325598541
C000015,0,0.0,0.0,0.39866839255419295,0.0,0.0,0.0,0.0,0.601331607445807
C000016,1,0.0,0.03786407053781145,0.6083393235711795,0.0,0.0,0.0,0.0,0.35379660589100903
C000017,3,0.0,0.014066364700898353,0.13091102459786885,0.5971002923092339,0.0,0.0,0.1700515215462603,0.08787079684573862
C000021,1,0.0,0.0,0.0,0.48309601822515746,0.0,0.02825090684347882,0.1778560887714951,0.3107969861598685
C000022,2,0.0,0.0,0.0,0.0,0.0,0.4619142315065286,0.36696773873620686,0.17111802975726453
C000024,1,0.0,0.7215943665378797,0.0,0.0,0.024453538578969418,0.04451436554939601,0.0,0.20943772933375493
C000025,0,0.7470282833293754,0.0,0.0,0.06511566581432658,0.015998019780742938,0.0939605370607069,0.010119270691369779,0.06777822332347849
C000026,1,0.0,0.3803109471586483,0.19525504208387834,0.18102645864083453,0.0,0.14625807422112674,0.07395294103337258,0.023196536862139405
C000027,2,0.0,0.012497342614528235,0.0,0.22248646246411471,0.7405864841932404,0.01249734556624271,0.0,0.011932365161874015
C000028,3,0.3689059755527127,0.1164070659631533,0.0,0.0,0.10376133790464409,0.3793801060262252,0.0,0.03154551455326471
C000029,3,0.30931786976077874,0.0,0.0,0.01491331267001969,0.2786536058343151,0.18601773972113067,0.12137174549283866,0.08972572652091715
C000030,3,0.09374704374750245,0.0,0.0,0.0,0.02414590916741896,0.0,0.0,0.8821070470850786
C000033,0,0.04189373985393546,0.0,0.0,0.0,0.0,0.0,0.4948940223607923,0.4632122377852723
C000035,2,0.0,0.021711752532789303,0.0,0.3957115568151094,0.009518801664280518,0.0,0.011694511015411068,0.5613633779724096
C000038,3,0.0,0.0,0.0,0.0,0.34516131909213504,0.2688413345342204,0.0,0.3859973463736446
C000039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C000040,2,0.1646457626199104,0.6636220597819129,0.14482127103471262,0.0,0.0,0.0,0.0,0.026910906563464065
C000041,3,0.0,0.0,0.8789361259684084,0.0,0.07978722690969409,0.0,0.0,0.04127664712189749
C000043,1,0.0,0.0,0.0614939565923339,0.0,0.0,0.0,0.07106278629101606,0.86744325711665
C000044,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05469469092059755,0.9453053090794025
C000047,2,0.0,0.5735934171239336,0.0,0.0,0.37599669152707366,0.0,0.0,0.050409891348992764
C000053,3,0.11397898032347262,0.4677007214729513,0.0,0.0,0.0,0.0,0.0,0.4183202982035761
C000055,1,0.0,0.0,0.0,0.0,0.0,0.19374194714947424,0.0,0.8062580528505258
C000060,0,0.0,0.0,0.8016003587607313,0.0,0.0,0.0,0.0,0.19839964123926868
C000062,4,0.0855261185990371,0.0,0.0,0.032571961171848844,0.0,0.0,0.0,0.8819019202291141
C000063,1,0.0,0.0,0.8365378094656428,0.0,0.0,0.0,0.0,0.16346219053435718
C000064,1,0.0,0.0,0.39154478273505844,0.004845995681255424,0.0,0.5304680468375519,0.0,0.07314117474613424
C000066,1,0.03365806476277362,0.0,0.0,0.0,0.0,0.0,0.049252522476437244,0.9170894127607891
C000069,3,0.028445264564297176,0.0,0.48001495285276385,0.05180827043021149,0.0,0.0,0.00781802693196626,0.4319134852207611
C000072,1,0.0,0.0,0.0,0.197240397810639,0.0,0.7560469941601178,0.03036780883495298,0.016344799194290327
C000073,4,0.0,0.0,0.031618530868246966,0.0,0.21045136537082332,0.0,0.0,0.7579301037609297
C000077,4,0.46148086784833525,0.0,0.0,0.024937444834054193,0.0,0.0,0.0,0.5135816873176106
C000078,4,0.0,0.0,0.6034689868061125,0.0,0.313370135272571,0.0,0.036352874471652245,0.04680800344966418
C000079,2,0.0,0.2754748866853986,0.0,0.08364870216834135,0.0,0.5489479861833331,0.08763117273209146,0.0042972522308355465
C000080,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C000084,3,0.0,0.0,0.025815624482825084,0.1008962779494081,0.0,0.0,0.0,0.8732880975677668
C000085,2,0.0,0.0,0.7357093437289838,0.0,0.0,0.0,0.0,0.2642906562710162
C000088,1,0.10029739431403106,0.019680727345653036,0.8177549824141906,0.0,0.0,0.0,0.0,0.06226689592612522
C000093,0,0.37792381529191127,0.0,0.02731045773357753,0.0,0.0,0.0,0.0,0.5947657269745112
C000094,1,0.6968428896029294,0.0,0.13917438267038834,0.0,0.07468018103583013,0.0,0.0,0.08930254669085214
C000095,1,0.0841618578999691,0.0,0.0,0.8537044382295285,0.015138507971334718,0.022956032364697645,0.0,0.02403916353447
C000100,2,0.04130328478488446,0.543097217893784,0.10188942431439497,0.0,0.0,0.0,0.0,0.31371007300693665
C000101,1,0.0,0.8915741708333758,0.0,0.0,0.0,0.0,0.0,0.10842582916662424
C000102,4,0.0,0.1116802580091328,0.0,0.0,0.0,0.5430674435907694,0.0,0.34525229840009775
